word,ipa,count,ipa_edited,pos,syns
यही,jəɦiː,4829,jahi,DET,False
चुका,t͡ʃukaː,4808,t͡ʃuka,PART,False
अगले,aɡle,4801,agle,X,False
चलते,t͡ʃəlte,4789,t͡ʃalte,VERB,True
मेरे,mere,4788,mere,PRON,False
कहते,kəɦte,4780,kahte,VERB,False
हमें,ɦəmen,4770,hamen,PRON,False
यात्रा,jaːtraː,4768,jatra,NOUN,True
ट्वीट,ʈviːʈ,4762,tvit,X,False
खत्म,kʰətmə,4752,katma,ADV,True
जरूरी,d͡ʒəruːriː,4745,ʒaruri,NOUN,True
हिस्सा,ɦissaː,4744,hissa,NOUN,True
जाए,d͡ʒaːe,4743,ʒae,VERB,False
जल्द,d͡ʒəldə,4734,ʒalda,ADV,True
बल्कि,bəlki,4731,balki,PART,False
अधिकारी,ad̤ikaːriː,4727,adikari,NOUN,True
होंगे,ɦoŋɡe,4700,honge,VERB,False
जिससे,d͡ʒisse,4678,ʒisse,PART,False
जाना,d͡ʒaːnaː,4676,ʒana,VERB,True
उसका,uskaː,4673,uska,PRON,False
पीछे,piːt͡ʃʰe,4631,pit͡ʃe,ADV,True
बच्चे,bət͡ʃt͡ʃe,4609,bat͡ʃt͡ʃe,NOUN,False
भर्ती,b̤ərtiː,4607,barti,NOUN,True
पिता,pitaː,4586,pita,NOUN,True
घंटे,ɡ̤ənʈe,4567,g̤ante,NOUN,False
राज्यों,raːd͡ʒjon,4544,raʒjon,NOUN,False
समेत,səmet,4520,samet,X,True
हाथ,ɦaːtʰ,4503,hat,NOUN,True
नेताओं,netaːon,4497,netaon,NOUN,False
मिले,mile,4478,mile,NOUN,False
जरिए,d͡ʒərie,4477,ʒarie,X,False
स्कूल,skuːl,4475,skul,NOUN,True
बेहद,beɦəd,4470,behad,ADV,True
इलाके,ilaːke,4463,ilake,NOUN,False
अधिकारियों,ad̤ikaːrijon,4450,adikarijon,NOUN,False
हासिल,ɦaːsil,4441,hasil,PART,True
तेज,ted͡ʒ,4434,teʒ,ADV,True
लॉन्च,lɔnt͡ʃə,4426,lont͡ʃa,X,True
तेजी,ted͡ʒiː,4417,teʒi,PART,True
योगी,joɡiː,4404,jogi,PROPN,True
व्यक्ति,vjəkti,4399,vjakti,NOUN,True
योजना,jod͡ʒnaː,4381,joʒna,NOUN,True
लगे,ləɡe,4381,lage,VERB,False
मार्च,maːrt͡ʃə,4378,mart͡ʃa,NOUN,True
केंद्रीय,kendriːj,4360,kendrij,X,True
लग,ləɡ,4358,lag,VERB,False
अच्छा,at͡ʃt͡ʃʰaː,4357,at͡ʃt͡ʃa,ADJ,True
आधार,aːd̤aːr,4349,adar,NOUN,True
नया,nəjaː,4342,naja,ADJ,True
वर्ष,vərʂə,4335,varsa,NOUN,True
ध्यान,d̤jaːn,4316,djan,PART,True
वोट,voʈ,4314,vot,NOUN,True
लगता,ləɡtaː,4291,lagta,VERB,False
शुक्रवार,ʃukrəvaːr,4291,ʃukravar,NOUN,True
महाराष्ट्र,məɦaːraːʂʈrə,4288,maharastra,PROPN,True
सोमवार,somvaːr,4244,somvar,NOUN,True
मामलों,maːmlon,4227,mamlon,NOUN,False
जेल,d͡ʒel,4225,ʒel,NOUN,True
आदेश,aːdeʃ,4221,adeʃ,NOUN,True
वायरल,vaːjrəl,4221,vajral,X,True
पानी,paːniː,4217,pani,NOUN,True
वापस,vaːpəs,4211,vapas,ADV,True
भारी,b̤aːriː,4203,bari,ADJ,True
प्रतिशत,prətiʃət,4196,pratiʃat,NOUN,True
पति,pəti,4194,pati,NOUN,True
शहर,ʃəɦər,4183,ʃahar,NOUN,True
देख,dekʰ,4178,dek,X,False
नरेंद्र,nərendrə,4178,narendra,PROPN,True
जी,d͡ʒiː,4168,ʒi,PART,True
प्रमुख,prəmukʰ,4150,pramuk,NOUN,True
सपा,səpaː,4150,sapa,PROPN,True
कोहली,koɦliː,4149,kohli,PROPN,False
कप्तान,kəptaːn,4134,kaptan,NOUN,True
लगी,ləɡiː,4130,lagi,VERB,False
युद्ध,judd̤ə,4125,judda,NOUN,True
डिग्री,ɖiɡriː,4103,digri,NOUN,True
हमला,ɦəmlaː,4099,hamla,NOUN,True
इतना,itnaː,4096,itna,DET,True
उम्मीद,ummiːd,4084,ummid,NOUN,True
रविवार,rəvivaːr,4078,ravivar,NOUN,True
विरोध,virod̤,4068,virod,NOUN,True
जिसे,d͡ʒise,4051,ʒise,PART,False
ठीक,ʈʰiːk,4048,tik,ADV,True
बने,bəne,4041,bane,VERB,False
तय,təj,4030,taj,ADV,True
स्वास्थ्य,svaːstʰjə,4027,svastja,NOUN,True
बातचीत,baːtt͡ʃiːt,4021,batt͡ʃit,NOUN,True
साफ,saːpʰ,4016,sap,ADJ,True
बिना,binaː,4011,bina,ADP,True
दूर,duːr,3981,dur,X,True
सुप्रीम,supriːm,3966,suprim,X,False
पोस्ट,posʈə,3954,posta,X,True
रखने,rəkʰne,3954,rakne,PART,False
एवं,evən,3942,evan,CONJ,False
मंदिर,məndir,3935,mandir,NOUN,True
जानते,d͡ʒaːnte,3923,ʒante,VERB,False
अंदर,ndər,3917,ndar,ADJ,True
एक्ट्रेस,ekʈres,3917,ektres,NOUN,False
फिलहाल,pʰilɦaːl,3906,pilhal,ADV,True
बेटी,beʈiː,3904,beti,NOUN,True
सरकारी,sərkaːriː,3897,sarkari,ADJ,True
सब,səb,3879,sab,DET,True
बाजार,baːd͡ʒaːr,3876,baʒar,NOUN,True
कौन,kɔːn,3873,kon,PRON_WH,False
तापमान,taːpmaːn,3865,tapman,NOUN,True
विकास,vikaːs,3846,vikas,NOUN,True
शिकायत,ʃikaːjət,3831,ʃikajat,NOUN,True
हमले,ɦəmle,3830,hamle,NOUN,False
रहते,rəɦte,3817,rahte,VERB,False
उम्र,umrə,3811,umra,NOUN,True
विवाद,vivaːd,3796,vivad,NOUN,True
खबर,kʰəbər,3792,kabar,NOUN,True
पहुंचे,pəɦuɲt͡ʃe,3789,pahunt͡ʃe,VERB,False
स्तर,stər,3767,star,NOUN,True
राजधानी,raːd͡ʒd̤aːniː,3765,raʒdani,PROPN,True
बुधवार,bud̤vaːr,3764,budvar,ADV,True
मुकाबले,mukaːble,3764,mukable,NOUN,True
सही,səɦiː,3751,sahi,ADV,True
जान,d͡ʒaːn,3748,ʒan,NOUN,True
केवल,kevəl,3742,keval,ADV,True
शनिवार,ʃənivaːr,3738,ʃanivar,NOUN,True
मौसम,mɔːsəm,3730,mosam,NOUN,True
जीवन,d͡ʒiːvən,3729,ʒivan,NOUN,True
महिलाओं,məɦilaːon,3724,mahilaon,NOUN,False
यूजर्स,juːd͡ʒrsə,3722,juʒrsa,X,False
शख्स,ʃəkʰsə,3716,ʃaksa,NOUN,True
मंगलवार,məŋɡləvaːr,3715,manglavar,NOUN,True
देखते,dekʰte,3713,dekte,VERB,False
डॉलर,ɖɔlər,3689,dolar,NOUN,True
रिजल्ट,rid͡ʒlʈə,3671,riʒlta,NOUN,True
शाम,ʃaːm,3670,ʃam,NOUN,True
इनमें,inmen,3669,inmen,PART,False
बेटे,beʈe,3668,bete,NOUN,False
पारी,paːriː,3664,pari,NOUN,True
स्थित,stʰit,3664,stit,X,True
पहला,pəɦlaː,3661,pahla,NOUN,True
खेल,kʰel,3660,kel,NOUN,True
जनवरी,d͡ʒənvəriː,3648,ʒanvari,NOUN,True
मंत्रालय,məntraːləj,3635,mantralaj,NOUN,True
फैंस,pʰæːnsə,3615,paensa,NOUN,False
हमेशा,ɦəmeʃaː,3610,hameʃa,ADV,True
बनी,bəniː,3605,bani,X,False
वालों,vaːlon,3580,valon,PART,False
आता,aːtaː,3577,ata,ADV,False
लड़की,ləɽkiː,3566,ladki,NOUN,True
बदलाव,bədlaːv,3562,badlav,NOUN,True
बेहतर,beɦtər,3561,behtar,ADJ,True
